Release Date,Time,Actual,Previous,Change
21-Sep-04,14:00,0.0175,0.015,0.0025
10-Aug-04,14:00,0.015,0.0125,0.0025
30-Jun-04,14:00,0.0125,0.01,0.0025
25-Jun-03,14:00,0.01,0.0125,-0.0025
6-Nov-02,14:00,0.0125,0.0175,-0.005
11-Dec-01,14:00,0.0175,0.02,-0.0025
6-Nov-01,14:00,0.02,0.025,-0.005
2-Oct-01,14:00,0.025,0.03,-0.005
17-Sep-01,14:00,0.03,0.035,-0.005
21-Aug-01,14:00,0.035,0.0375,-0.0025
27-Jun-01,14:00,0.0375,0.04,-0.0025
15-May-01,14:00,0.04,0.045,-0.005
18-Apr-01,14:00,0.045,0.05,-0.005
20-Mar-01,14:00,0.05,0.055,-0.005
31-Jan-01,14:00,0.055,0.06,-0.005
3-Jan-01,14:00,0.06,0.065,-0.005
16-May-00,14:00,0.065,0.06,0.005
21-Mar-00,14:00,0.06,0.0575,0.0025
2-Feb-00,14:00,0.0575,0.055,0.0025
16-Nov-99,14:00,0.055,0.0525,0.0025
24-Aug-99,14:00,0.0525,0.05,0.0025
30-Jun-99,14:00,0.05,0.0475,0.0025
17-Nov-98,14:00,0.0475,0.05,-0.0025
15-Oct-98,14:00,0.05,0.0525,-0.0025
29-Sep-98,14:00,0.0525,0.055,-0.0025
25-Mar-97,14:00,0.055,0.0525,0.0025
31-Jan-96,14:00,0.0525,0.055,-0.0025
19-Dec-95,14:00,0.055,0.0575,-0.0025
6-Jul-95,14:00,0.0575,0.06,-0.0025
1-Feb-95,14:00,0.06,0.055,0.005
15-Nov-94,14:00,0.055,0.0475,0.0075
16-Aug-94,14:00,0.0475,0.0425,0.005
17-May-94,14:00,0.0425,0.0375,0.005
18-Apr-94,14:00,0.0375,0.035,0.0025
22-Mar-94,14:00,0.035,0.0325,0.0025
4-Feb-94,14:00,0.0325,0.03,0.0025
4-Sep-92,14:00,0.03,0.0325,-0.0025
2-Jul-92,14:00,0.0325,0.0375,-0.005
9-Apr-92,14:00,0.0375,0.04,-0.0025
20-Dec-91,14:00,0.04,0.045,-0.005
6-Dec-91,14:00,0.045,0.0475,-0.0025
6-Nov-91,14:00,0.0475,0.05,-0.0025
31-Oct-91,14:00,0.05,0.0525,-0.0025
13-Sep-91,14:00,0.0525,0.055,-0.0025
6-Aug-91,14:00,0.055,0.0575,-0.0025
30-Apr-91,14:00,0.0575,0.06,-0.0025
8-Mar-91,14:00,0.06,0.0625,-0.0025
